requirement_text,quality_label
The module must delete records but skip it under normal mode.,Inconsistent
The application must track account and avoid log at the same time.,Inconsistent
The application must retrieve credentials and avoid validate at the same time.,Inconsistent
The module must delete user profile but skip it under normal mode.,Inconsistent
The application must validate transaction details and avoid export at the same time.,Inconsistent
The module must store file but skip it under normal mode.,Inconsistent
"The system shall generate account only after system start, otherwise always track.",Inconsistent
The application must record database and avoid archive at the same time.,Inconsistent
"The system shall store database only after shutdown, otherwise always transform.",Inconsistent
"The system shall display invoice only before save, otherwise always sync.",Inconsistent
The application must send invoice and avoid search at the same time.,Inconsistent
"The system shall update database only after shutdown, otherwise always backup.",Inconsistent
The application must generate user profile and avoid record at the same time.,Inconsistent
The module must log settings but skip it under normal mode.,Inconsistent
The module must notify message but skip it under normal mode.,Inconsistent
The module must archive notifications but skip it under normal mode.,Inconsistent
The application must alert account and avoid record at the same time.,Inconsistent
The application must log password and avoid transform at the same time.,Inconsistent
The module must log credentials but skip it under normal mode.,Inconsistent
"The system shall refresh data only when timeout occurs, otherwise always sort.",Inconsistent
The module must delete credentials but skip it under normal mode.,Inconsistent
"The system shall archive settings only when error occurs, otherwise always record.",Inconsistent
The module must process account but skip it under normal mode.,Inconsistent
"The system shall delete error message only after network failure, otherwise always store.",Inconsistent
The application must validate message and avoid alert at the same time.,Inconsistent
"The system shall search settings only after system start, otherwise always record.",Inconsistent
The application must track notifications and avoid transform at the same time.,Inconsistent
The application must generate profile and avoid sort at the same time.,Inconsistent
The application must send user profile and avoid sort at the same time.,Inconsistent
The application must transform session and avoid update at the same time.,Inconsistent
The application must record settings and avoid update at the same time.,Inconsistent
"The system shall send session only before save, otherwise always backup.",Inconsistent
The application must reset logs and avoid delete at the same time.,Inconsistent
The application must sync transaction details and avoid notify at the same time.,Inconsistent
"The system shall delete email only before update, otherwise always log.",Inconsistent
The application must display credentials and avoid display at the same time.,Inconsistent
The module must generate password but skip it under normal mode.,Inconsistent
The module must record password but skip it under normal mode.,Inconsistent
The module must update password but skip it under normal mode.,Inconsistent
The application must send activity log and avoid display at the same time.,Inconsistent
"The system shall sync database only after shutdown, otherwise always filter.",Inconsistent
The module must track email but skip it under normal mode.,Inconsistent
The module must notify credentials but skip it under normal mode.,Inconsistent
The module must backup user profile but skip it under normal mode.,Inconsistent
The module must export notifications but skip it under normal mode.,Inconsistent
"The system shall alert settings only when network failure occurs, otherwise always store.",Inconsistent
The application must search error message and avoid sync at the same time.,Inconsistent
"The system shall export credentials only before export, otherwise always save.",Inconsistent
The module must generate message but skip it under normal mode.,Inconsistent
The application must sort email and avoid reset at the same time.,Inconsistent
"The system shall record error message only after network failure, otherwise always sync.",Inconsistent
The application must save records and avoid notify at the same time.,Inconsistent
"The system shall retrieve account only after shutdown, otherwise always cache.",Inconsistent
"The system shall store account only after logout, otherwise always cache.",Inconsistent
"The system shall log data only when error occurs, otherwise always filter.",Inconsistent
The application must sync invoice and avoid filter at the same time.,Inconsistent
The application must send notifications and avoid update at the same time.,Inconsistent
"The system shall archive account only after shutdown, otherwise always archive.",Inconsistent
The application must sync email and avoid validate at the same time.,Inconsistent
The module must backup activity log but skip it under normal mode.,Inconsistent
